Model,AUC,Accuracy,F1
Logistic Regression,0.6848056093186238,0.6420233651596708,0.6374428507709837
Decision Tree,0.6692463913913482,0.7044081960996684,0.704296015380399
Random Forest,0.7426302593549553,0.6772546482565782,0.6755042444974482
GBT,0.780684171059893,0.705621522212409,0.7055782999498851
